Timestamp,Bid,Ask,Date,Time,Hour,Minute,Second,Mid
2024-02-01 00:00:00.029,1.08073,1.08082,2024-02-01,00:00:00.029000,0,0,0,1.080775
2024-02-01 00:00:00.108,1.08076,1.08079,2024-02-01,00:00:00.108000,0,0,0,1.080775
2024-02-01 00:00:00.154,1.08073,1.08081,2024-02-01,00:00:00.154000,0,0,0,1.08077
2024-02-01 00:00:00.201,1.08072,1.0808,2024-02-01,00:00:00.201000,0,0,0,1.08076
2024-02-01 00:00:00.217,1.08074,1.08079,2024-02-01,00:00:00.217000,0,0,0,1.080765
2024-02-01 00:00:00.233,1.08074,1.08077,2024-02-01,00:00:00.233000,0,0,0,1.080755
2024-02-01 00:00:00.248,1.08072,1.0808,2024-02-01,00:00:00.248000,0,0,0,1.08076
2024-02-01 00:00:00.373,1.08074,1.08077,2024-02-01,00:00:00.373000,0,0,0,1.080755
2024-02-01 00:00:00.420,1.08072,1.0808,2024-02-01,00:00:00.420000,0,0,0,1.08076
2024-02-01 00:00:00.545,1.08074,1.08077,2024-02-01,00:00:00.545000,0,0,0,1.080755
2024-02-01 00:00:00.717,1.08072,1.0808,2024-02-01,00:00:00.717000,0,0,0,1.08076
2024-02-01 00:00:00.748,1.08072,1.08081,2024-02-01,00:00:00.748000,0,0,0,1.080765
2024-02-01 00:00:00.795,1.08074,1.08077,2024-02-01,00:00:00.795000,0,0,0,1.080755
2024-02-01 00:00:00.811,1.08072,1.08081,2024-02-01,00:00:00.811000,0,0,0,1.080765
2024-02-01 00:00:00.904,1.08074,1.08077,2024-02-01,00:00:00.904000,0,0,0,1.080755
2024-02-01 00:00:01.092,1.08072,1.08081,2024-02-01,00:00:01.092000,0,0,1,1.080765
2024-02-01 00:00:01.092,1.08074,1.08077,2024-02-01,00:00:01.092000,0,0,1,1.080755
2024-02-01 00:00:01.123,1.08072,1.08081,2024-02-01,00:00:01.123000,0,0,1,1.080765
2024-02-01 00:00:01.170,1.08072,1.0808,2024-02-01,00:00:01.170000,0,0,1,1.08076
2024-02-01 00:00:01.201,1.08074,1.08077,2024-02-01,00:00:01.201000,0,0,1,1.080755
2024-02-01 00:00:01.248,1.08072,1.08081,2024-02-01,00:00:01.248000,0,0,1,1.080765
2024-02-01 00:00:01.311,1.08074,1.08077,2024-02-01,00:00:01.311000,0,0,1,1.080755
2024-02-01 00:00:01.326,1.08072,1.08081,2024-02-01,00:00:01.326000,0,0,1,1.080765
2024-02-01 00:00:01.420,1.08074,1.08077,2024-02-01,00:00:01.420000,0,0,1,1.080755
2024-02-01 00:00:01.498,1.08072,1.0808,2024-02-01,00:00:01.498000,0,0,1,1.08076
2024-02-01 00:00:01.545,1.08074,1.08077,2024-02-01,00:00:01.545000,0,0,1,1.080755
2024-02-01 00:00:01.576,1.08072,1.0808,2024-02-01,00:00:01.576000,0,0,1,1.08076
2024-02-01 00:00:01.576,1.08074,1.08078,2024-02-01,00:00:01.576000,0,0,1,1.0807600000000002
2024-02-01 00:00:01.592,1.08072,1.0808,2024-02-01,00:00:01.592000,0,0,1,1.08076
2024-02-01 00:00:01.686,1.08074,1.08078,2024-02-01,00:00:01.686000,0,0,1,1.0807600000000002
2024-02-01 00:00:01.717,1.08072,1.0808,2024-02-01,00:00:01.717000,0,0,1,1.08076
2024-02-01 00:00:01.904,1.08074,1.08078,2024-02-01,00:00:01.904000,0,0,1,1.0807600000000002
2024-02-01 00:00:02.342,1.08072,1.0808,2024-02-01,00:00:02.342000,0,0,2,1.08076
2024-02-01 00:00:02.342,1.08074,1.08078,2024-02-01,00:00:02.342000,0,0,2,1.0807600000000002
2024-02-01 00:00:02.404,1.08072,1.08081,2024-02-01,00:00:02.404000,0,0,2,1.080765
2024-02-01 00:00:02.451,1.08074,1.08078,2024-02-01,00:00:02.451000,0,0,2,1.0807600000000002
2024-02-01 00:00:02.717,1.08072,1.08081,2024-02-01,00:00:02.717000,0,0,2,1.080765
